,Genes (Node 1),1-hop directly regulating (degree centrality),1-hop directly regulating genes,2-hop directly regulating,2-hop directly regulating.1,Regulating Mutually Exclusively (ones array),ME,category,ME oncogene,ME TS,1-hop Causal,2-hop Causal,2-hop Cascade,Protein,Classification,Function (discrete),Gene Expression,TF (type) (TRRUST),Mutation Count (TCGA),Moderate mutations,Low Mutations,High Mutations,Modifier Mutations,TF (regulating same gene) - two hop,TF (regulating same gene) - one hop,Mutually Exclusively regulating gene (regulating gene) - oncogene,Mutually Exclusively regulating gene (regulating gene) - tumorsuppressor,Combination gene reguation (regulated by this # genes),Causal Effect (DEGs)
103,TMPO,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,TMPO,None Found,"Cell Signaling, Proliferation of cells",None Found,None Found,4,4,0,0,0,,,,,0,
104,TGFBR2,1,EGR1,66,66,106,0,tumorsupressor,0,0,1,0.13636363636363635,1,TGFBR2,Tumorsupressor,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,5,3,0,1,1,,,,,0,
105,TFPI2,1,EGR1,66,66,106,0,tumorsupressor,0,0,1,0.13636363636363635,1,TFPI2,Tumorsupressor,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,5,3,2,0,0,,,,,0,
106,TBXA2R,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,TBXA2R,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
107,SYN2,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,SYN2,None Found,None Found,None Found,None Found,7,1,1,0,5,,,,,0,
108,SYN1,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,SYN1,None Found,Proliferation of cells,5.450999565,None Found,9,4,1,2,2,,,,,0,
109,STMN1,1,EGR1,66,66,106,0,oncogene,0,0,1,0.13636363636363635,1,STMN1,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",2.476243733,None Found,2,0,1,0,1,,,,,0,
110,STIM1,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,STIM1,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,4,2,1,0,1,,,,,0,
111,SPRY1,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,SPRY1,None Found,Proliferation of cells,-2.790660858,None Found,6,4,1,1,0,,,,,0,
112,SOX18,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,SOX18,None Found,"Transcription regulation, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
113,SOD1,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,SOD1,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,2,2,0,0,0,,,,,0,
114,SLC9A3,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,SLC9A3,None Found,None Found,6.699056527,None Found,5,3,1,0,1,,,,,0,
115,SLC4A2,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,SLC4A2,None Found,Apoptosis,None Found,None Found,14,9,4,0,1,,,,,0,
116,RBL2,1,EGR1,66,66,106,0,tumorsupressor,0,0,1,0.13636363636363635,1,RBL2,Tumorsupressor,Cell Signaling,None Found,None Found,2,1,1,0,0,,,,,0,
117,RAG2,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,RAG2,None Found,Cell Signaling,None Found,None Found,5,4,0,0,1,,,,,0,
118,PTP4A1,1,EGR1,66,66,106,0,oncogene,0,0,1,0.13636363636363635,1,PTP4A1,Oncogene,Proliferation of cells,None Found,None Found,2,0,0,0,2,,,,,0,
119,PTGES,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,PTGES,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
120,PSEN2,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,PSEN2,None Found,Cell Signaling,None Found,None Found,5,4,0,0,1,,,,,0,
121,POR,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,POR,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,4,0,2,0,2,,,,,0,
122,PDGFC,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,PDGFC,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,2,1,1,0,0,,,,,0,
123,PCSK2,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,PCSK2,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,9,4,2,1,2,,,,,0,
124,NAB2,1,EGR1,66,66,106,0,TF,0,0,1,0.13636363636363635,1,NAB2,TF,Proliferation of cells,None Found,Repression,7,2,2,0,3,,,,,1,
125,MYB,2,"ERBB2,EGR1",145,"79,66","31,106",0,oncogene,0,0,1,0.13636363636363635,1,MYB,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Unknown,6,5,0,1,0,,,,,1,
126,MMP14,1,EGR1,66,66,106,0,cigene,0,0,1,0.13636363636363635,1,MMP14,Cigene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,4,3,1,0,0,,,,,0,
127,LTB,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,LTB,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
128,LMTK2,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,LMTK2,None Found,None Found,None Found,None Found,15,9,5,1,0,,,,,0,
129,LHB,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,LHB,None Found,Cell Signaling,None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
130,LDLR,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,LDLR,None Found,Apoptosis,None Found,None Found,3,2,1,0,0,,,,,0,
131,LAT,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,LAT,None Found,"Cell Signaling, Proliferation of cells",None Found,None Found,1,1,0,0,0,,,,,0,
