Protein,Classification,Function (discrete),Gene Expression,TF (type) (TRRUST),Mutation Count (TCGA),Moderate mutations,Low Mutations,High Mutations,Modifier Mutations,TF (regulating same gene) - two hop,TF (regulating same gene) - one hop,Mutually Exclusively regulating gene (regulating gene) - oncogene,Mutually Exclusively regulating gene (regulating gene) - tumorsuppressor,Combination gene reguation (regulated by this # genes),Causal Effect (DEGs)
NANOS2,None Found,None Found,None Found,None Found,1,0,1,0,0,,,,,1,
GFRA1,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,1,0,1,0,0,,,,,1,
SOHLH1,None Found,None Found,None Found,None Found,3,1,0,0,2,,,,,1,
BCL6B,Tumorsupressor,"Apoptosis, Proliferation of cells",None Found,None Found,2,1,1,0,0,,,,,1,
OLIG2,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
OLIG1,None Found,None Found,None Found,None Found,2,0,0,0,2,,,,,1,
ZBTB16,"Tumorsupressor, Oncogene","Apoptosis, Proliferation of cells",-1.953357197,None Found,6,3,1,0,2,,,,,1,
SOX10,None Found,"Apoptosis, Proliferation of cells",-6.950149239,None Found,3,2,1,0,0,,,,,1,
SOX2,"Cigene, Oncogene","Apoptosis, Proliferation of cells",None Found,None Found,3,2,1,0,0,,,,,1,
NEUROG3,None Found,None Found,None Found,None Found,2,2,0,0,0,,,,,1,
HEY2,None Found,Proliferation of cells,None Found,None Found,1,1,0,0,0,,,,,1,
HES5,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
NEUROG1,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
HES1,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,4,3,0,0,1,,,,,1,
TCF3,"Cigene, Tumorsupressor, Oncogene","Apoptosis, Proliferation of cells",None Found,None Found,3,1,0,0,2,,,,,1,
MYOD1,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
MYOG,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
MYRF,None Found,None Found,None Found,None Found,3,1,2,0,0,,,,,1,
ID2,"Cigene, Oncogene","Apoptosis, Proliferation of cells",None Found,None Found,2,1,0,0,1,,,,,1,
MYF6,None Found,Proliferation of cells,None Found,None Found,7,6,0,0,1,,,,,1,
EZH2,"Cigene, Oncogene","Apoptosis, Proliferation of cells",3.648483512,None Found,5,1,2,1,1,,,,,2,
NOTCH1,"Cigene, Oncogene","Apoptosis, Proliferation of cells",None Found,None Found,7,6,1,0,0,,,,,2,
WNT5A,"Tumorsupressor, Oncogene","Apoptosis, Proliferation of cells",None Found,None Found,2,0,1,0,1,,,,,1,
SOX4,Oncogene,"Apoptosis, Proliferation of cells",None Found,None Found,5,2,1,0,2,,,,,1,
CDC42,None Found,None Found,None Found,None Found,3,0,0,0,3,,,,,3,
MMP2,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,5,2,2,0,1,,,,,1,
CEBPB,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
BCL3,Oncogene,"Apoptosis, Proliferation of cells",None Found,None Found,2,1,1,0,0,,,,,1,
FKBP4,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,2,0,2,0,0,,,,,2,
GIPC1,None Found,Proliferation of cells,None Found,None Found,3,1,1,0,1,,,,,1,
ADCYAP1R1,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,3,1,2,0,0,,,,,1,
RIT2,None Found,Proliferation of cells,None Found,None Found,3,0,2,0,1,,,,,1,
RIT1,Oncogene,"Apoptosis, Proliferation of cells",None Found,None Found,6,1,2,0,3,,,,,1,
DYNLT1,None Found,formation of cellular protrusions,None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
DOCK3,None Found,Proliferation of cells,None Found,None Found,15,11,3,0,1,,,,,1,
SH2B1,None Found,None Found,None Found,None Found,8,5,2,0,1,,,,,1,
ADCYAP1,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
CDH2,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,4,2,1,0,1,,,,,1,
CDK5,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,6,4,1,0,1,,,,,1,
CTNND1,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,10,4,1,0,5,,,,,1,
KRAS,"Cigene, Oncogene",None Found,None Found,None Found,6,5,0,0,1,,,,,2,
NRAS,Oncogene,"Apoptosis, Proliferation of cells",None Found,None Found,2,2,0,0,0,,,,,2,
CTNNA1,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,6,2,1,2,1,,,,,1,
RAP1A,Oncogene,Apoptosis,None Found,None Found,2,1,0,1,0,,,,,1,
FRS3,Tumorsupressor,None Found,None Found,None Found,3,1,1,0,1,,,,,1,
TIAM1,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,9,4,3,1,1,,,,,1,
RAP1B,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,2,1,1,0,0,,,,,1,
GAB1,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,6,3,2,0,1,,,,,2,
FRS2,None Found,None Found,None Found,None Found,2,1,0,0,1,,,,,1,
PTPN11,Oncogene,None Found,None Found,None Found,5,2,1,1,1,,,,,2,
GRIN2B,None Found,Apoptosis,None Found,None Found,19,11,6,1,1,,,,,1,
