Protein,Classification,Function (discrete),Gene Expression,TF (type) (TRRUST),Mutation Count (TCGA),Moderate mutations,Low Mutations,High Mutations,Modifier Mutations,TF (regulating same gene) - two hop,TF (regulating same gene) - one hop,Mutually Exclusively regulating gene (regulating gene) - oncogene,Mutually Exclusively regulating gene (regulating gene) - tumorsuppressor,Combination gene reguation (regulated by this # genes),Causal Effect (DEGs)
MAD2L1,Cigene,"Apoptosis, Proliferation of cells",0.471306614,None Found,4,3,0,1,0,,,,,1,
CENPE,None Found,Apoptosis,3.453779899,None Found,25,20,3,2,0,,,,,1,
CDCA5,None Found,Proliferation of cells,3.77026587,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
SPC24,None Found,None Found,7.637085589,None Found,2,2,0,0,0,,,,,1,
SKA1,None Found,cell survival,5.205877121,None Found,2,1,0,1,0,,,,,1,
PLK1,Oncogene,"Apoptosis, Proliferation of cells",4.535312825,None Found,6,2,3,0,1,,,,,1,
CASC5,None Found,Apoptosis,4.907658797,None Found,11,8,2,1,0,,,,,1,
NUF2,None Found,Apoptosis,5.545942005,None Found,6,2,1,1,2,,,,,1,
KNTC1,None Found,adenocarcinoma,0.471306614,None Found,10,7,2,1,0,,,,,1,
SGOL1,None Found,adenocarcinoma,4.539811409,None Found,5,2,1,0,2,,,,,1,
ESPL1,Oncogene,"Apoptosis, Proliferation of cells",4.195300119,None Found,12,7,3,1,1,,,,,1,
KIF18A,None Found,"Apoptosis, Proliferation of cells",3.87658759,None Found,5,4,1,0,0,,,,,1,
SPC25,None Found,Apoptosis,4.924748195,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
INCENP,None Found,None Found,None Found,None Found,6,5,1,0,0,,,,,1,
ERCC6L,None Found,None Found,3.379672294,None Found,8,3,3,1,1,,,,,1,
XPO1,None Found,Apoptosis,None Found,None Found,19,13,2,2,2,,,,,1,
NUSAP1,None Found,Apoptosis,4.262304686,None Found,2,1,1,0,0,,,,,1,
KIF20A,None Found,Proliferation of cells,5.065418854,None Found,5,2,0,1,2,,,,,1,
TOP2A,None Found,"Apoptosis, Proliferation of cells",4.405240862,None Found,6,3,1,1,1,,,,,1,
UBE2C,Oncogene,Proliferation of cells,4.93922636,None Found,1,0,0,0,1,,,,,1,
DLGAP5,None Found,Proliferation of cells,5.193258879,None Found,5,2,0,2,1,,,,,1,
TPX2,None Found,"Apoptosis, Proliferation of cells",4.730406767,None Found,5,3,0,0,2,,,,,1,
KIF11,None Found,"Apoptosis, Proliferation of cells",3.407376252,None Found,8,7,0,1,0,,,,,1,
AURKA,Oncogene,"Apoptosis, Proliferation of cells",3.496219487,None Found,5,4,0,0,1,,,,,1,
PBK,Oncogene,"Apoptosis, Proliferation of cells",5.049812404,None Found,3,2,0,1,0,,,,,1,
TTK,None Found,"Apoptosis, Proliferation of cells",4.3264074,None Found,2,2,0,0,0,,,,,1,
RACGAP1,None Found,"Apoptosis, Proliferation of cells",2.568608858,None Found,3,2,0,1,0,,,,,1,
KIF23,None Found,Proliferation of cells,3.770478849,None Found,4,3,1,0,0,,,,,1,
CENPM,None Found,None Found,3.817380916,None Found,2,0,1,0,1,,,,,1,
SCUBE3,None Found,Proliferation of cells,None Found,None Found,6,2,3,0,1,,,,,1,
EPHB1,None Found,Proliferation of cells,-2.88815071,None Found,21,9,8,0,4,,,,,1,
SDC4,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,3,1,0,1,1,,,,,1,
TIMP3,Tumorsupressor,"Apoptosis, Proliferation of cells",None Found,None Found,4,2,2,0,0,,,,,1,
SRC,"Cigene, Oncogene","Apoptosis, Proliferation of cells",None Found,None Found,5,1,2,0,2,,,,,5,
ITGB2,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,14,8,2,2,2,,,,,1,
CTSS,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,4,4,0,0,0,,,,,1,
TNFAIP6,None Found,Proliferation of cells,None Found,None Found,6,2,1,1,2,,,,,1,
TIMP2,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,3,0,2,0,1,,,,,1,
CHIT1,None Found,None Found,None Found,None Found,5,3,2,0,0,,,,,1,
OSCAR,None Found,Apoptosis,None Found,None Found,2,0,1,0,1,,,,,1,
IDH1,Oncogene,Proliferation of cells,None Found,None Found,8,7,1,0,0,,,,,1,
LTA4H,None Found,None Found,None Found,None Found,5,3,1,0,1,,,,,1,
EPHB2,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,10,7,2,0,1,,,,,1,
OLFM4,Tumorsupressor,None Found,None Found,None Found,3,2,1,0,0,,,,,1,
PLG,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,10,6,2,1,1,,,,,2,
MMP10,Cigene,Apoptosis,None Found,None Found,3,3,0,0,0,,,,,1,
CST3,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,2,2,0,0,0,,,,,1,
CD44,Cigene,"Apoptosis, Proliferation of cells",None Found,None Found,2,1,1,0,0,,,,,2,
ACAN,None Found,Proliferation of cells,4.72978461,None Found,6,3,1,2,0,,,,,1,
