Node 1,Node 2
MUC1,ST3GAL3
MUC1,ST6GALNAC3
MUC1,GALNT13
MUC1,GALNT18
MUC1,ST6GALNAC2
MUC1,MUC1
MUC1,MUC16
MUC1,MUC5B
MUC1,MUC5AC
MUC1,MUC4
MUC1,MUC6
MUC1,MUC7
MUC1,MUC20
MUC1,MUC13
MUC1,MUC12
MUC1,MUC17
MUC1,MUC3A
MUC1,MUC21
MUC1,MUC15
MUC1,MUCL1
MUC1,B3GNT3
MUC1,GCNT1
MUC1,B3GNT6
MUC1,C1GALT1
MUC1,C1GALT1C1
MUC1,GALNT6
MUC1,GALNT4
MUC1,GALNT15
MUC1,GALNT7
MUC1,GALNT3
MUC1,GCNT3
MUC1,GALNT5
MUC1,GALNT8
MUC1,GALNT10
MUC1,GALNT12
MUC1,GALNT2
MUC1,GALNT14
MUC1,GALNT16
MUC1,GALNT1
MUC1,GALNT9
MUC1,GALNTL6
MUC1,GALNTL5
MUC1,GALNT11
MUC1,ST6GAL1
ATF2,PLAT
CREB1,PLAT
CREM,PLAT
JUN,PLAT
JUND,PLAT
NF1,PLAT
SP1,PLAT
SP3,PLAT
ESR1,JUNB
MYC,JUNB
NFKB1,JUNB
RBMX,JUNB
RELA,JUNB
STAT3,JUNB
WT1,JUNB
ABL1,JUN
AR,JUN
ARNT,JUN
ATF2,JUN
CREB1,JUN
CTNNB1,JUN
ESR2,JUN
GLI1,JUN
GLI2,JUN
HDAC3,JUN
HDAC4,JUN
HSF1,JUN
JUN,JUN
MEF2A,JUN
MEF2C,JUN
MEF2D,JUN
NFIC,JUN
NFRKB,JUN
PARP1,JUN
PITX1,JUN
RUNX1,JUN
SMAD3,JUN
SMAD4,JUN
TCF4,JUN
TNFAIP3,JUN
WT1,JUN
ZNF382,JUN
ZNF383,JUN
SP1,ID4
SP3,ID4
USF1,ID4
MEN1,JUND
RBMX,JUND
ZIC1,JUND
SMAD7,KRT14
SP1,KRT14
