BCAR1,EGR1
CACNA1H,EGR1
CCND1,EGR1
CCND2,EGR1
CD28,EGR1
CDK5R1,EGR1
CDKN1A,EGR1
CHGA,EGR1
CXCL8,EGR1
CYP2B6,EGR1
DMRT1,EGR1
EAPP,EGR1
EGFR,EGR1
EP300,EGR1
F3,EGR1
FAP,EGR1
FAS,EGR1
FASLG,EGR1
FCER2,EGR1
FGF2,EGR1
FLT1,EGR1
FN1,EGR1
GDF15,EGR1
GDNF,EGR1
GGPS1,EGR1
HIF1A,EGR1
HPSE,EGR1
HSD11B2,EGR1
HYAL1,EGR1
ID3,EGR1
IFNG,EGR1
IGF2,EGR1
IL2,EGR1
IL2RB,EGR1
IL3,EGR1
IL6,EGR1
IMPDH2,EGR1
KLK3,EGR1
LAT,EGR1
LDLR,EGR1
LHB,EGR1
LMTK2,EGR1
LTB,EGR1
MMP14,EGR1
MYB,EGR1
NAB2,EGR1
NFKB1,EGR1
PCSK2,EGR1
PDGFB,EGR1
PDGFC,EGR1
PLAU,EGR1
PLAUR,EGR1
POR,EGR1
PPARG,EGR1
PSEN2,EGR1
PTEN,EGR1
PTGES,EGR1
PTGS2,EGR1
PTP4A1,EGR1
RAG2,EGR1
RBL2,EGR1
SLC4A2,EGR1
SLC9A3,EGR1
SOD1,EGR1
SOX18,EGR1
SPRY1,EGR1
STIM1,EGR1
STMN1,EGR1
SYN1,EGR1
SYN2,EGR1
TBXA2R,EGR1
TCF4,EGR1
TFPI2,EGR1
TGFBR2,EGR1
TMPO,EGR1
TNF,EGR1
TNFSF10,EGR1
TOE1,EGR1
TP53,EGR1
TP73,EGR1
UBE2S,EGR1
VEGFA,EGR1
VEGFA,EGR1
WNT4,EGR1
EGR1,ATF5
EGR1,BRCA1
EGR1,ETS1
EGR1,ETS2
EGR1,FOXO1
EGR1,HDAC1
EGR1,KLF5
EGR1,MAML1
EGR1,NAB2
EGR1,NFKB1
EGR1,NKX2-3
EGR1,RBMX
EGR1,RELA
EGR1,SP1
EGR1,STAT1
EGR1,STAT6
EGR1,TP53
SERPINE1,ARNTL2
SERPINE1,E2F1
SERPINE1,EPAS1
SERPINE1,ESR1
SERPINE1,ESR2
SERPINE1,HIF1A
SERPINE1,HSF1
SERPINE1,KLF10
SERPINE1,KLF5
SERPINE1,NFKB1
SERPINE1,NFKB1
SERPINE1,NR0B2
SERPINE1,NR4A1
SERPINE1,PARP1
SERPINE1,PPARA
SERPINE1,PPARG
SERPINE1,RELA
SERPINE1,RELA
